sign	decan_number	degree_range	title	ruler	sub_sign	spark	deep_insight	poetic	influential_waves_e	influential_waves_a	structural_tone	field_function	wave_summary
Aries	1	0–9°	The Flame Seed	Mars	Aries/Aries	The first spark of life — action before thought.	This first decan of Aries marks the ignition point of the zodiac: raw motion before motive, restless and urgent. Energy here is pure beginning — unformed, unstoppable.	“The Will-to-Incarnate made visible… ignition, nothing else.”	All 10	3,7,2,9,6,8	Initiatory vector — activates archetype through kinetic ignition.	Spark chamber launching the full harmonic cycle; volatile until tempered.	Wave-dense crucible; all ten fields present — degree picks the first note.
Aries	2	10–19°	The Ember Architect	Sun	Aries/Leo	The flame becomes focused — will sharpens into direction.	Action channels into identity. Presence is forged through courage, play, and recognition; motion learns to speak as self.	“The sword of becoming — bright, fierce, unyielding.”	3,7,2,9,6,8	3,7,2,9	Refinement vector — sculpts identity through pressure/art.	Turns impulse into recognizable character; charisma learns rhythm.	Broad resonance with 3/7/2; 9 gives karmic gravity; 6/8 appear as scaffolds.
Aries	3	20–29°	The Crowned Flame	Jupiter	Aries/Sagittarius	The fire spreads outward — passion seeks connection and quest.	The flame extends beyond the self toward vision and meaning; courage becomes pilgrimage and teaching.	“The flame becomes a path, and the path becomes a calling.”	4,8,9	4,8	Expansion vector — quest and purpose.	Directs action toward horizon; crystallizes drive into mission.	Mystic 4 curves, Crystal 8 fixes; 9 adds consequence/legacy.
Taurus	1	0–9°	The Seed of Substance	Venus	Taurus/Taurus	The first roots take hold — life seeks stability and substance.	Pure Venusian essence: spark slows into form, grounding into body, earth, and sensation.	“The seed presses into Earth — spark becomes substance.”	All 10	All 10	Inception of embodiment — consolidation and rooting.	Cradle of incarnation in matter and sense.	Wave bed for steadying; all ten present but softened.
Taurus	2	10–19°	The Garden Builder	Mercury	Taurus/Virgo	What is rooted now seeks cultivation — form shaped by care.	Matter is crafted with patience and devotion. Structure becomes beauty through skill and attention.	“Stone becomes vessel, soil becomes harvest, love becomes form.”	3,8,2,7,9	3,8,2	Refinement vector — craft, design, stewardship.	Shapes resource into reliable containers of value.	3 invents, 8 structures, 2 attunes; 7/9 add heart and time.
Taurus	3	20–29°	The Fruit of Stillness	Saturn	Taurus/Capricorn	What was seeded and tended now ripens — abundance calls to be shared or guarded.	Possession is tested: stability can nourish or confine. Integrity asks how we hold and share what we have.	“The orchard bends heavy with fruit — a gift, a burden, a choice.”	8,9,2	8,2	Consolidation vector — responsibility of holding and sharing.	Stabilizes assets/skills; defines boundaries and duty.	8 fixes, 2 mirrors stewardship; 9 carries karmic weight.
Gemini	1	0–9°	The Spark of Mind	Mercury	Gemini/Gemini	The first breath of thought — curiosity alive before content.	Perception awakens by contrast and play. The mind discovers itself in motion and mirrors.	“The soul discovers itself in motion — thought dancing with its own shadow.”	2,3,4,10	2,3,4	Initiatory air — perception in motion; names and plays.	Opens contrast, language, and exchange.	2 mirrors, 3 moves, 4 intuits; 10 flashes new starts.
Gemini	2	10–19°	The Weaver of Thought	Venus	Gemini/Libra	Curiosity becomes pattern — ideas begin to weave into meaning.	Thought organizes into narrative and dialogue; translation builds bridges.	“The word becomes thread — stitching thought into story, self into other.”	2,3,6,7,9	2,3,6	Relational air — harmony of ideas; dialogue to coherence.	Turns talk to meaning; makes maps between minds.	2/3/6 core; 7 adds empathy; 9 adds memory.
Gemini	3	20–29°	The Trickster’s Crown	Saturn	Gemini/Aquarius	The mind turns inward — paradox and play reveal hidden truths.	Wisdom arrives through inversion and recursion; humor breaks illusion.	“Truth wears many masks — wisdom found in the laughter of the trickster.”	3,4,6,10	3,4,6	Meta-air — riddle, recursion, revelation.	Tests assumptions; shows pattern by breaking it.	3 motion, 4 insight, 6 connection; 10 resets.
Cancer	1	0–9°	The Womb of Remembrance	Moon	Cancer/Cancer	The first tide of feeling — memory before identity.	Belonging precedes self; feeling precedes thought. Home as origin of meaning.	“Before words, there was feeling; before self, there was belonging.”	2,7,9	2,7	Origin water — bonding and imprinting.	Holds, reflects, and roots emotion.	2 mirror-bonds, 7 nurtures; 9 ancestral echo.
Cancer	2	10–19°	The Architect of Belonging	Mars	Cancer/Scorpio	Emotion seeks structure — safety shaped through care and devotion.	Feeling becomes container: bonds, vows, and guardianship.	“To protect is to remember; to care is to anchor the soul in form.”	2,6,9	2,6	Protective water — boundaries of care.	Builds trust vessels; sustains lineage.	2 intimacy, 6 structure; 9 obligation/history.
Cancer	3	20–29°	The Tidebearer	Jupiter	Cancer/Pisces	The river of memory flows outward — feeling becomes legacy.	Emotion releases into the collective; remembrance becomes teaching.	“The tide carries memory beyond the self — love released becomes legacy.”	4,8,9,10	4,8,9	Transpersonal water — remembrance as offering.	Encodes and transmits ancestral feeling.	4 vision, 8 form, 9 harvest; 10 renewal through release.
Leo	1	0–9°	The Solar Flame	Sun	Leo/Leo	The first fire of selfhood — the soul knows it shines.	Sovereign flame awakens: presence, play, and courage to be seen.	“The soul awakens as flame — radiant, proud, undeniable.”	3,5,7,10	3,5,7	Initiatory fire — radiance and presence.	Ignites identity through play and heart.	3 creates, 5 thresholds, 7 warmth; 10 fresh persona cycles.
Leo	2	10–19°	The Sculptor of Self	Jupiter	Leo/Sagittarius	Radiance shaped — the self refines through rhythm and reflection.	Fire is tempered into artistry and devotion; charisma becomes offering.	“The flame is tempered — identity becomes art, power becomes grace.”	3,6,8	3,6	Refinement fire — skill and noble craft.	Sculpts presence into performance and service.	3 invents, 6 relates, 8 codifies legacy.
Leo	3	20–29°	The Crowned Radiant	Mars	Leo/Aries	The light matures — radiance offered as legacy.	Selfhood crowns as blessing; presence becomes inheritance.	“The flame crowns itself — light becomes legacy, radiance becomes blessing.”	8,10,9	8,9	Culmination fire — imprint and inheritance.	Encodes charisma into symbol and story.	8 form, 9 memory; 10 archetypal renewal.
Virgo	1	0–9°	The Sacred Craft	Mercury	Virgo/Virgo	The soul bends toward precision — devotion through detail.	Craft becomes prayer through attention; the ordinary is consecrated.	“In the detail, the divine appears — every act, a consecration.”	3,6,8,2	3,6,8	Initiatory earth — praxis and refinement.	Sanctifies life through care and iteration.	3 invention, 6 linkage, 8 form; 2 service-mirroring.
Virgo	2	10–19°	The Healer’s Hand	Saturn	Virgo/Capricorn	Craft becomes care — structure becomes medicine.	Skill moves into service; healing through presence, humility, and design.	“Hands become vessels of care — healing through presence, precision, and love.”	6,7,8	6,8	Therapeutic earth — protocol and restoration.	Applies structure to relieve suffering.	6 duty, 8 method; 7 compassion tone.
Virgo	3	20–29°	The Codex Keeper	Venus	Virgo/Taurus	Wisdom recorded — the pattern preserved in sacred form.	Learning is encoded into systems and symbols; transmission becomes legacy.	“Every pattern becomes scripture — devotion crystallized into legacy.”	8,9,10	8,9	Archivist earth — encoding and transmission.	Captures mastery into tools and teachings.	8 codex, 9 memory; 10 renewal via teaching.
