sign,planet,degree,wave,wave_text,decan,decan_text,sabian_title,sabian_text,chandra_title,chandra_text,synthesis_text
Aries,Mars,3° Aries (4th degree),Wave 3: The Spiral Initiate,"Mars here moves through the Wave of thresholds and recursive beginnings. Action is never only forward — it circles back, learns, and begins again. This Wave charges Mars with the sense that each act is a doorway into deeper awareness: “Every spark sets a spiral in motion.”",Aries Decan I: The Flame Seed (Mars influence),"The first decan of Aries is raw ignition — will unmediated, instinct ablaze. Mars here is pure fire: immediate, courageous, sometimes reckless. It carries vitality that demands later shaping, yet its gift is the raw courage to begin.",Two lovers strolling through a secluded walk.,"Mars expresses its fire through union and companionship. Action is softened, made human, by sharing the path with another. The flame longs to be mirrored and joined.",A cup overflowing with clear water.,"The life-force is abundant, ready to spill over. Energy regenerates when freely offered; depletion comes only when the flow is blocked.",Wave 3 provides the field of thresholds and spirals. Aries Decan I frames it as raw courage and ignition. 4° symbols ground it in lived detail: Mars here seeks to act in union (the lovers) and from abundance (the overflowing cup). ✨ This Mars is not only the warrior of Aries — it is the initiator who acts boldly yet flourishes most when fire becomes a shared journey.
Taurus,Moon,17° Taurus (18th degree),Wave 7: The Heart Weavers,The Moon here moves within the Wave of binding and patterning. Feeling is woven into bonds that last; care is tested for durability. This Wave asks: “Can your love hold shape through time?”,Taurus Decan II: The Garden Builder (Mercury influence),"The second decan of Taurus tends the earth into cultivated form. The Moon here becomes the patient caretaker, shaping security with design and craft. Emotion manifests as stewardship, creating safety through rhythm and tending.",A woman holding a bag out of a window.,The emotional field must release what has been hoarded. The Moon learns to let go in order to nurture freely.,A woman with hundreds of breasts.,"Infinite capacity for nourishment, but also the danger of over-giving. Care here is abundant but must learn balance.","Wave 7 provides the field of weaving bonds. Taurus Decan II frames this as cultivation and caretaking. 18° symbols ground it in lived detail: the Moon here releases excess (the bag out the window) while offering abundance (hundreds of breasts). ✨ This Moon is not only steady in Taurus — it is a weaver of care who learns that true nurture requires balance: pruning as well as feeding, release as well as embrace."
Gemini,Mercury,9° Gemini (10th degree),Wave 9: The Harvesters,"Mercury here moves in the Wave of memory and consequence. Thought is not fleeting; it records, accumulates, and becomes archive. This Wave teaches: “What you speak will echo.”",Gemini Decan I: The Spark of Mind (Mercury influence),"The first decan of Gemini is playful curiosity — questions before answers, speech before structure. Mercury here is nimble and inventive, delighting in the dance of words and ideas.",An airplane falling.,The risk of overload: thoughts can stall when they are overextended. Speech must find clarity and simplicity to keep aloft.,A young woman notices the handsome man has fangs.,Discernment in perception. Beneath appearances lies hidden truth; the mind must name it clearly.,"Wave 9 provides the field of memory and consequence. Gemini Decan I frames this as curiosity and agility. 10° symbols ground it in lived detail: Mercury must refine speech (the falling airplane) and pierce illusion (the man with fangs). ✨ This Mercury is not only lively in Gemini — it is a recorder of thought, a mind that endures through clarity and discernment. Words here shape memory itself."
Cancer,Sun,27° Cancer (28th degree),Wave 9: The Harvesters,The Sun here moves in the Wave of memory and consequence. Identity is stamped with legacy — what you shine out is what lingers. This Wave teaches: “Your light is remembered in how it imprints the world.”,Cancer Decan III: The Storykeeper (Moon influence),"The third decan of Cancer holds emotional legacy and ancestral patterns. The Sun here becomes keeper of story, shining as the one who remembers, protects, and transmits.",A modern Pocahontas.,"Identity carries the theme of crossing between cultures or worlds, bridging divides with courage and presence.",A tremendous cave on the bank of a river.,"A vast inner reservoir, holding depth and hidden resource. The Sun must illuminate not just surface, but the cavern within.","Wave 9 provides the field of consequence and memory. Cancer Decan III frames this as ancestral story-keeping. 28° symbols ground it in detail: the Sun as bridge (Pocahontas) and inner cave (tremendous cave). ✨ This Sun is not only radiant in Cancer — it is an anchor of legacy, shining with the memory of worlds that must be bridged and remembered."
Leo,Venus,12° Leo (13th degree),Wave 2: The Soul Mirror,"Venus here moves through the field of reflection and relationship. Value and beauty are revealed through mirroring — love becomes known in the way it resonates with others. This Wave sets the tone of dialogue, harmony, and reciprocity: “You discover yourself in the mirror of what you love.”",Leo Decan II: The Sculptor of Self (Jupiter influence),"The second decan of Leo sculpts radiance into artistry and offering. Venus here learns that beauty is not simply display but must be refined, shaped, and devoted. Relationships become tests of grace and loyalty; creativity matures into form that serves more than ego.",An old sea captain.,"Venus here carries the wisdom of journeys completed. Love and value are infused with memory, perspective, and the ability to hold steady after life’s storms. There is gravitas and a seasoned quality to affection and beauty.",A man painting scenes on a ceiling.,"Alongside this maturity comes aspiration. Venus longs to elevate beauty, to inspire, to raise love and creativity toward higher vision. What is ordinary is lifted toward the extraordinary.","Wave 2 provides the field of mirroring and resonance. Leo Decan II frames that resonance as artistry and devotion. 13° symbols ground it in lived detail: Venus here bears seasoned wisdom (the old sea captain) while also reaching upward (the painted ceiling). ✨ This Venus is not only radiant in Leo — it is reflective, sculpted, and matured. Love here both remembers and aspires, carrying the weight of journeys past and the pull of vision above."
Virgo,Saturn,6° Virgo (7th degree),Wave 8: The Crystal Initiates,"Saturn here moves within the Wave of crystallization. Structure hardens, order clarifies, discipline sets. This Wave teaches: “What you shape becomes enduring form.”",Virgo Decan I: The Seed Analyst (Sun influence),"The first decan of Virgo is keen observation and refinement. Saturn here intensifies this: structure becomes meticulous, discipline becomes analytical.",A harem.,"Saturn confronts the politics of containment and control, asking where boundaries serve or suffocate.",A pie thrown in someone’s face.,"A counter-symbol of humor, humility, and breakdown of rigidity. Structure must not calcify into control.","Wave 8 provides the field of crystallization. Virgo Decan I frames it as analysis and refinement. 7° symbols ground it in detail: Saturn as structurer (the harem) but checked by humility (the pie in the face). ✨ This Saturn is not only disciplined in Virgo — it is an alchemist of structure, learning that crystal clarity must bend or break."
Libra,Jupiter,15° Libra (16th degree),Wave 2: The Soul Mirror,"Jupiter here expands through reflection. Growth is relational — truth is found in dialogue, justice in balance. This Wave teaches: “Your wisdom unfolds in how you mirror others.”",Libra Decan II: The Diplomat (Saturn influence),"The second decan of Libra stabilizes balance with structure. Jupiter here seeks justice and fairness, expanding truth through laws, agreements, and shared responsibility.",A boat landing washed away.,The loss of an old foundation; new balance must be sought when the familiar no longer holds.,A skull carved out of quartz crystal.,"Wisdom refined to clarity — death transformed into transparency, showing the impermanence beneath justice.",Wave 2 provides the field of relational reflection. Libra Decan II frames it as diplomacy and responsibility. 16° symbols ground it in detail: Jupiter learns through the collapse (washed-away landing) and clarity (crystal skull). ✨ This Jupiter is not only wise in Libra — it is a truth-seeker who understands that fairness requires resilience when the old structures no longer stand.
Scorpio,Pluto,20° Scorpio (21st degree),Wave 10: The Genesis Mirrors,Pluto here moves in the Wave of radical thresholds. Endings and beginnings mirror one another; destruction seeds creation. This Wave teaches: “What dies reveals what must be reborn.”,Scorpio Decan III: The Alchemist (Moon influence),"The third decan of Scorpio transmutes shadow into wisdom. Pluto here intensifies this alchemy: the underworld is laid bare, so transformation can occur.",A soldier derelict in his duty.,"Pluto reveals collapse of responsibility, forcing confrontation with corruption or neglect.",A pair of glasses with no lenses in them.,Seeing without clarity; the illusion of perception stripped bare. True sight comes only through transformation.,"Wave 10 provides the field of radical thresholds. Scorpio Decan III frames it as alchemy and transformation. 21° symbols ground it in detail: Pluto unmasks failure (derelict soldier) and illusion (lensless glasses). ✨ This Pluto is not only powerful in Scorpio — it is a crucible where shadow and neglect collapse, so new vision can be born."
Sagittarius,Neptune,28° Sagittarius (29th degree),Wave 9: The Harvesters,Neptune here dissolves boundaries into collective memory. Imagination is not private — it seeps into the collective archive. This Wave teaches: “Your dreams feed the world’s story.”,Sagittarius Decan III: The Visionary (Sun influence),"The third decan of Sagittarius sees beyond horizons. Neptune here dissolves into myth, vision, and prophecy — both inspiring and confusing.",A fat boy mowing the lawn.,Vision must ground in simplicity; mundane tasks balance lofty ideals.,The ritual slaughtering of a lamb.,Sacrifice and ritual are needed to purify vision. Inspiration comes at a cost.,"Wave 9 provides the field of memory and consequence. Sagittarius Decan III frames it as vision and prophecy. 29° symbols ground it in detail: Neptune learns humility (mowing the lawn) and the cost of vision (ritual sacrifice). ✨ This Neptune is not only mystical in Sagittarius — it is a visionary who must balance myth with daily practice, dream with sacrifice."
Capricorn,Mercury,11° Capricorn (12th degree),Wave 10: The Genesis Mirrors,Mercury here thinks in thresholds: collapse and renewal mirrored in thought. Communication becomes initiation — words reset patterns.,Capricorn Decan I: The Hierarch (Jupiter influence),"The first decan of Capricorn builds structure and order. Mercury here becomes a strategist, shaping language into systems and hierarchies.",A student of nature lecturing.,Knowledge must be taught and structured; wisdom only lives when shared.,"A beautiful, erotic fat woman eating chocolates.","An image of indulgence alongside order, showing the tension between control and desire.",Wave 10 provides the field of mirrored thresholds. Capricorn Decan I frames it as hierarchy and system. 12° symbols ground it in detail: Mercury instructs (student of nature) while grappling with human desire (woman with chocolates). ✨ This Mercury is not only pragmatic in Capricorn — it is the architect of words that must honor both order and appetite.
Aquarius,Sun,5° Aquarius (6th degree),Wave 2: The Soul Mirror,The Sun here shines through reflection: identity discovered in relation to the collective. This Wave teaches: “You see yourself most clearly in the group’s response.”,Aquarius Decan I: The Reformer (Venus influence),"The first decan of Aquarius seeks harmony through innovation. The Sun here shines as visionary reformer, blending individuality with the needs of the whole.",A performer of a mystery play.,Identity is expressed as role and ritual — the Sun shines by embodying archetype.,A gardener with just one leg.,Innovation amid limitation; creativity flourishes even within constraints.,"Wave 2 provides the field of mirroring. Aquarius Decan I frames it as reform and innovation. 6° symbols ground it in detail: Sun shines through role (mystery play) and perseverance (one-legged gardener). ✨ This Sun is not only visionary in Aquarius — it is a reformer whose identity blossoms in service to collective renewal, shaped by both ritual and resilience."
Pisces,Moon,23° Pisces (24th degree),Wave 3: The Spiral Initiate,"The Moon here moves in spirals of feeling, entering thresholds again and again. Emotion is recursive, growing deeper with each cycle. This Wave teaches: “Every feeling is an initiation.”",Pisces Decan III: The Dreamer (Mars influence),"The third decan of Pisces carries visionary fire into dissolution. The Moon here is deeply receptive, emotional imagination turned toward transcendent longing.",An inhabited island.,Emotion seeks belonging in the midst of vastness — a place of community within the ocean of feeling.,A spring festival. The participants are in a state of ecstatic frenzy.,"Emotion erupts into collective joy, ecstatic communion, the Moon dissolving into celebration.","Wave 3 provides the field of recursive initiation. Pisces Decan III frames this as visionary dream and dissolution. 24° symbols ground it in detail: Moon here finds belonging (inhabited island) and ecstatic union (spring festival). ✨ This Moon is not only sensitive in Pisces — it is the ecstatic dreamer who weaves community from the ocean of feeling, cycling endlessly into deeper communion."
