Wave,Degree,Sign,Planet,Note,Sabian Symbol ,Chandra Symbol,Personal Question 
1,0,Aries,Sun,"0° (Emergent Self): Pure assertion without context, fire breaking into form. — The Sun in Aries under the Root Trinity Wave fuses primal identity with origination fire. Aries gives the Self its pioneering spark — raw, instinctive, and unmediated. In the Root Trinity, this essence is stripped back to its archetypal root: Self as origin, Self as declaration, Self as the primal ignition point.","1   A woman rises out of the water, a seal rises and embraces her",1. A man repairing and extending a stone wall in the spring.,What ancient part of you is surfacing now—and what form is it building?  
1,10,Aries,Sun,"10° (Formative Self): Initiative stabilizes into direction; will shaping into purpose. — The Sun in Aries under the Root Trinity Wave fuses primal identity with origination fire. Aries gives the Self its pioneering spark — raw, instinctive, and unmediated. In the Root Trinity, this essence is stripped back to its archetypal root: Self as origin, Self as declaration, Self as the primal ignition point.",11 The president of the country ,11. Sunlight illuminating dust in the air.,What leadership are you embodying through subtle radiance?
1,20,Aries,Sun,"20° (Integrated Self): Aries fire matures into enduring presence; sustained radiance of Self. — The Sun in Aries under the Root Trinity Wave fuses primal identity with origination fire. Aries gives the Self its pioneering spark — raw, instinctive, and unmediated. In the Root Trinity, this essence is stripped back to its archetypal root: Self as origin, Self as declaration, Self as the primal ignition point.",21  A pugilist entering the ring. ,21. Pastel flags fluttering in the breeze.,What bold confrontation is softened by a deeper resonance?
1,0,Taurus,Sun,"0° (Emergent Self): First awakening of Self through body and sensation. — The Sun in Taurus under the Root Trinity Wave grounds identity into embodiment. Here, Self seeks continuity, value, and rootedness. Taurus anchors the archetype of being through stability and sensual presence, reminding the Self that existence is not just fire but form — an incarnation that requires endurance and loyalty to matter.",1  A clear mountain stream.,1. A red garnet ring. The garnets glow.,What clarity is being concentrated into a talisman of power?  
1,10,Taurus,Sun,"10° (Formative Self): Identity stabilizes through rhythm, cultivation, and habit. — The Sun in Taurus under the Root Trinity Wave grounds identity into embodiment. Here, Self seeks continuity, value, and rootedness. Taurus anchors the archetype of being through stability and sensual presence, reminding the Self that existence is not just fire but form — an incarnation that requires endurance and loyalty to matter.",11  A woman sprinkling flowers.,11. A woman with flames for hair.,What gentle action conceals your burning intention?
1,20,Taurus,Sun,"20° (Integrated Self): Self becomes a steady, enduring presence — grounded and unshakable. — The Sun in Taurus under the Root Trinity Wave grounds identity into embodiment. Here, Self seeks continuity, value, and rootedness. Taurus anchors the archetype of being through stability and sensual presence, reminding the Self that existence is not just fire but form — an incarnation that requires endurance and loyalty to matter.",21  A finger pointing in an open book.,21. A statue of Hermes decked with brightly colored garlands.,What message is being highlighted by myth and memory?
1,0,Gemini,Sun,"0° (Emergent Self): Self awakens as curiosity; first spark of dialogue. — The Sun in Gemini under the Root Trinity Wave gives identity its multiplicity and curiosity. Here, the Self arises as dialogue — not a singular origin, but a spark that leaps between minds, words, and perceptions. Gemini teaches the Self that being is relational and forever in motion, refusing fixedness in favor of connection.",1   A glass-bottomed boat in still water.,1. Knots in a cord. They are a message in code.,What submerged truth is rising through symbols and silence? 
1,10,Gemini,Sun,"10° (Formative Self): Identity experiments with dualities; weaving thought into expression. — The Sun in Gemini under the Root Trinity Wave gives identity its multiplicity and curiosity. Here, the Self arises as dialogue — not a singular origin, but a spark that leaps between minds, words, and perceptions. Gemini teaches the Self that being is relational and forever in motion, refusing fixedness in favor of connection.",11  A new path of realism in experience.,11. A stag with golden horns.,What majestic perception is grounding into your next step?
1,20,Gemini,Sun,"20° (Integrated Self): Self becomes a fluid presence, at ease with paradox and multiplicity. — The Sun in Gemini under the Root Trinity Wave gives identity its multiplicity and curiosity. Here, the Self arises as dialogue — not a singular origin, but a spark that leaps between minds, words, and perceptions. Gemini teaches the Self that being is relational and forever in motion, refusing fixedness in favor of connection.",21  A labour demonstration.,21. Wine casks retrieved from an ancient shipwreck.,What collective passion are you uncovering from ancient depths?
1,0,Cancer,Sun,"0° (Emergent Self): Self awakens as emotional sensitivity and instinctual care. — The Sun in Cancer under the Root Trinity Wave roots identity in feeling and belonging. The Self arises not only as an individual spark, but as the protective flame of home, memory, and kinship. Cancer reminds the Self that origin is both personal and ancestral — Self as nurturer, guardian, and continuity-bearer.",1   A furled and unfurled flag displayed from a vessel.,1. A potter at work.,What identity are you shaping that flows from hidden craftsmanship?  
1,10,Cancer,Sun,"10° (Formative Self): Identity stabilizes through bonds of family, roots, and memory. — The Sun in Cancer under the Root Trinity Wave roots identity in feeling and belonging. The Self arises not only as an individual spark, but as the protective flame of home, memory, and kinship. Cancer reminds the Self that origin is both personal and ancestral — Self as nurturer, guardian, and continuity-bearer.",11 A clown making grimaces.,11. Monstrosities in glass jars at a side show.,What distortions are asking to be laughed into healing?
1,20,Cancer,Sun,"20° (Integrated Self): Self becomes a steady hearth, carrying ancestral continuity with presence. — The Sun in Cancer under the Root Trinity Wave roots identity in feeling and belonging. The Self arises not only as an individual spark, but as the protective flame of home, memory, and kinship. Cancer reminds the Self that origin is both personal and ancestral — Self as nurturer, guardian, and continuity-bearer.",21 A Prima Donna singing.,21. High up on a mountain an eagle’s nest.,What sovereign voice are you lifting to its rightful height?
