Sign,Decan_Number,Label,Ruler,Subsign,Degree_Start,Degree_End,Structural_Function,Phase_Tone,One_Liner,Field_Function,Wave_Summary,Poetic_Short
Aries,1,"The Flame Seed","Mars","Aries/Aries",0,9,"Initiatory vector — activates archetype through kinetic ignition","Raw fire charge; initiates without context","First breath of becoming — ignition without history.","Initiates full harmonic cycle; spark chamber of motion over motive; volatile until tempered.","Wave-dense crucible; all ten fields present — degree picks the first note.","“The Will-to-Incarnate made visible… Only ignition.”"
Aries,2,"The Ember Architect","Sun","Aries/Leo",10,19,"Stabilization vector — formalizes will/egoic architecture","Disciplined charge; forming the boundary of selfhood","Structured fire — passion hammered into spine.","Builds selfhood; refines ego via tension and artistry; sustains raw power through effort.","Blends W3/W7 creativity with W2/W9 reflection and W1/W6/W8 form.","“If Aries I screams ‘Begin!’, Aries II replies, ‘Sustain it.’”"
Aries,3,"The Crowned Flame","Jupiter","Aries/Sagittarius",20,29,"Transmission vector — releases structured self into service","Visionary flame; future-bearing; legacy-marked","Fire becomes legacy — the light it casts.","Closes Aries arc through transmutation; identity → offering; directional karma.","Visionary octave; W4/W8/W9 emphasize legacy coding.","“Can I stop being the fire… and become the light?”"
Taurus,1,"The Seed of Substance","Venus","Taurus/Taurus",0,9,"Rooting vector — transitions impulse into embodied awareness","Stabilizing stillness; sensate coherence","Spirit grounds into body — stillness as consecration.","Transduces fire into form; establishes somatic base; body memory as sacred.","All ten waves converge to ground spirit; power in stillness.","“Sensation is sacred. Form is consecration.”"
Taurus,2,"The Garden Builder","Moon","Taurus/Virgo",10,19,"Cultivation vector — initiates intentional form-building","Deliberate growth; value through practice","The artisan soul tends — growth by devotion.","Grows form through craft; purposeful embodiment; daily ritual as anchor.","Craft (W3,W8), devotion (W2,W7), ancestry (W9).","“What I shape, I become.”"
Taurus,3,"The Fruit of Stillness","Saturn","Taurus/Capricorn",20,29,"Transmission vector — offers embodied essence to the field","Fruiting resonance; beauty beyond the self","Form reveals frequency — beauty as offering.","Culminates embodiment; radiance → legacy; shared experience.","Transpersonal maturity: W8/W9 with W2 — structure → sustenance → signature.","“The body becomes a vessel of lasting resonance.”"
Gemini,1,"The Spark of Mind","Mercury","Gemini/Gemini",0,9,"Activation vector — initiates perception and polarity","Kinetic awareness; playful dualism","First dance of cognition — curiosity before content.","Initiates symbolic thought; animates duality; teaches mobility and mirror growth.","Strong W2/W3/W4/W10 — mental mirror chamber.","“The soul awakens to duality, contrast, reflection.”"
Gemini,2,"The Weaver of Thought","Venus","Gemini/Libra",10,19,"Integration vector — weaves thought and language into meaning","Relational fluency; synthetical intellect","Curiosity finds pattern — thought becomes language.","Translates inner/outer through symbolic precision; balances dualities.","Relational-intellectual corridor: W2/W6/W3 with W7/W9 depth.","“Meaning isn’t found — it’s woven.”"
Gemini,3,"The Trickster’s Crown","Saturn","Gemini/Aquarius",20,29,"Recursion vector — reintegrates dualities into meta-mind","Paradoxical clarity; syntropic cognition","Mind becomes prism — paradox as mastery.","Catalyzes multidimensional pattern cognition; trickster as teacher.","High recursion: W3/W4/W6/W10 — words become transmissions.","“They speak in prisms, bending logic until it reveals soul.”"
Cancer,1,"The Womb of Remembrance","Moon","Cancer/Cancer",0,9,"Primordial vector — opens emotional recursion and soul memory","Fluid coherence; ancestral resonance","Feeling before identity — the inner ocean.","Initiates emotional intelligence; opens ancestral/intuition field; vulnerability as return.","Depth field with W2/W7/W9 — embryonic frequency.","“Planets here don’t act — they echo.”"
Cancer,2,"The Architect of Belonging","Mars","Cancer/Scorpio",10,19,"Containment vector — organizes memory into bonds/ritual","Nurturing form; psychic stabilization","Safety becomes structure — care as coherence.","Shapes relational memory into systems; empathic engineering; spiritual ecology.","Caretaker zone: W2/W6/W9 — bonding, memory transfer, protection.","“To protect is to remember the shape of the sacred.”"
Cancer,3,"The Tidebearer","Jupiter","Cancer/Pisces",20,29,"Transmutation vector — releases lineage into archetypal memory","Resonant release; symbolic nurturance","Legacy flows outward — emotion as offering.","Releases personal emotion into collective healing; ancestral integration; wisdom bearer.","Legacy field: W4/W8/W9/W10 — karmic resonance and transmission.","“It is not personal — it is patterned resonance passed down.”"
Leo,1,"The Solar Flame","Sun","Leo/Leo",0,9,"Ignition vector — initiates personal radiance","Expressive light; embodied confidence","Sovereign fire awakens — meant to be seen.","Activates expressive sovereignty; creative/relational radiance; identity anchoring.","Signature field: W3/W5/W7/W10 — emergence and rhythm.","“I am — and I am here to be seen.”"
Leo,2,"The Sculptor of Self","Jupiter","Leo/Sagittarius",10,19,"Refinement vector — sculpts identity through pressure/art","Sovereign artistry; noble reflection","From display to devotion — shaping the light.","Refines radiance into artistry; mirrors test ego; ritualizes expression.","Tonal mastery: W3/W6/W8 with W2/W7 heart.","“True power isn’t being seen — it’s choosing how to shine.”"
Leo,3,"The Crowned Radiant","Mars","Leo/Aries",20,29,"Transmission vector — offers refined identity as presence","Mythic radiance; silent influence","Leadership without grasping — light as blessing.","Selfhood becomes symbol; inner teacher emerges; legacy fire discharged.","Pinnacle fire: W8/W10/W9 — transpersonal radiance.","“Planets here no longer perform — they transmit.”"
Virgo,1,"The Sacred Craft","Mercury","Virgo/Virgo",0,9,"Calibration vector — initiates refinement and ritual","Focused devotion; holistic discernment","Devotion in detail — mastery as rhythm.","Translates will into sacred repeatable action; precision as prayer.","High-resolution: W3/W6/W8/W2 — care, skill, service, discernment.","“Find the divine in the detail.”"
Virgo,2,"The Healer’s Hand","Saturn","Virgo/Capricorn",10,19,"Integration vector — structure in service of wholeness","Healing coherence; ethical functionality","Devotion becomes medicine — presence that mends.","Brings ritual precision into relational practice; soul technician.","Functional grace: W6/W7/W8 — connection, geometry, disciplined empathy.","“Wholeness is how care meets function.”"
Virgo,3,"The Codex Keeper","Venus","Virgo/Taurus",20,29,"Transcription vector — encodes wisdom into systems","Codified clarity; archetypal structure","Details as keys — structure as scripture.","Concludes service via symbolic patterning; form as sacred text.","Transmission field: W8/W9/W10 — archivist/codifier archetype.","“Every act of precision is a prayer toward the pattern.”"
Libra,1,"The Mirror Breath","Venus","Libra/Libra",0,9,"Initiatory vector — opens relational consciousness","Relational harmony; aesthetic instinct","Beauty as right relationship — grace that listens.","Initiates relational mind; mirrors identity; brings beauty into coherence.","Relational field tuned by W2/W6/W7.","“Harmony is the dance of differentiated unity.”"
Libra,2,"The Sacred Scale","Uranus","Libra/Aquarius",10,19,"Calibration vector — elegance meets justice","Discerning harmony; principled clarity","The mirror discriminates — balance with backbone.","Forges balance through challenge; codes of fairness; elegant truth.","High-order discernment: W6/W2/W4 with karmic W9.","“Beauty without clarity is illusion; clarity without beauty is violence.”"
Libra,3,"The Diplomat’s Crown","Mercury","Libra/Gemini",20,29,"Harmonic transmission vector — grace as healing","Diplomatic beauty; resonant intelligence","Equanimity embodied — artistry of peace.","Transmits relational elegance; forms alliances through resonance.","Transpersonal mastery: W6/W7/W8 with W9 memory.","“Become a conductor of grace.”"
Scorpio,1,"The Depth Gate","Mars","Scorpio/Scorpio",0,9,"Initiatory vector — descent into mystery and power","Transformational magnetism; emotional courage","Burning inward — the underworld begins.","Initiates psychic depth; alchemizes pain into presence; initiatory union.","Crucible: W4/W8/W9 with W2 mirror — magnetic and exacting.","“Only through the wound’s depth can resilience remember itself.”"
Scorpio,2,"The Sacred Forge","Sun","Scorpio/Pisces",10,19,"Containment vector — transformation gains structure","Focused passion; sovereign vulnerability","Power refined into devotion — blade made sacred.","Grounds alchemy into sustainable bonds; clarity of purpose; chosen devotion.","Intimate fire: W3/W4/W8/W9 — discipline over drama.","“True power isn’t dramatic — it’s disciplined, devoted, precise.”"
Scorpio,3,"The Phoenix Gate","Venus","Scorpio/Cancer",20,29,"Transmutation vector — becomes the wisdom within","Mystic intensity; spiritual maturity","Rising from depth — the seer emerges.","Converts pain to collective wisdom; oracular presence; soul service.","Transpersonal: W4/W7/W9/W10 — resurrection and transmission.","“Death is not an end — only a threshold.”"
Sagittarius,1,"The Flame Beyond","Jupiter","Sagittarius/Sagittarius",0,9,"Visionary ignition vector — initiates quest","Expansive fire; sacred curiosity","Fire to discover — the seeker awakens.","Opens mythic quest; catalyzes vision and longing; fire that sees farther.","Directional field: W3/W6/W9/W10 — story, bridges, memory, origin.","“There is more.”"
Sagittarius,2,"The Arrow of Meaning","Mars","Sagittarius/Aries",10,19,"Codification vector — experience into belief/message","Focused fire; instructional clarity","Seeker becomes scribe — truth structured.","Synthesizes story into symbolic clarity; teacher frequency.","Transmission field: W3/W6/W8; mission born of lived experience.","“Teach it by living it.”"
Sagittarius,3,"The Flamebearer","Sun","Sagittarius/Leo",20,29,"Transmission vector — embodied wisdom/legacy","Spiritual radiance; mythic guidance","Torchbearer — life as path for others.","Finalizes vision into embodiment; leadership as presence, not dogma.","Strong W3/W8/W9/W10 — wisdom, coherence, memory, legacy.","“The torch is kept, not owned.”"
Capricorn,1,"The Mountain Seed","Saturn","Capricorn/Capricorn",0,9,"Foundation vector — mastery through structure","Disciplined earth; commitment as coherence","The climb begins — vow to time.","Initiates sacred responsibility; transmutes effort into elegant form.","Foundational field: W6/W8/W9 — structure, geometry, lineage.","“Move slowly, with purpose no storm can shake.”"
Capricorn,2,"The Architect’s Ascent","Venus","Capricorn/Taurus",10,19,"Elevation vector — effort becomes elegance","Functional design; devotional craftsmanship","The work shows its shape — time as temple.","Elevates mastery into visible legacy; builds coherent contribution.","Sacred construction: W3/W6/W8/W9.","“Integrity gains visibility.”"
Capricorn,3,"The Temple of Time","Mercury","Capricorn/Virgo",20,29,"Preservation vector — sustains/transmits structure","Elder stillness; temporal guardianship","The mountain becomes sanctuary.","Holds memory of form; embeds wisdom into architecture; quiet authority.","Dominant W8/W9/W10 — encoded, ancestral, sovereign.","“Not the climber — the mountain itself.”"
Aquarius,1,"The Signal of the Future","Saturn","Aquarius/Aquarius",0,9,"Innovative ignition vector — catches the field’s signal","Frequency intelligence; future-aligned thought","Antenna for what wants to emerge.","Initiates transpersonal mental architecture; tunes to emerging patterns.","Cognitive ignition: W6/W8/W10 — clarity, structure, signal.","“One ear pressed to the edge.”"
Aquarius,2,"The Architect of the Unseen","Mercury","Aquarius/Gemini",10,19,"Integration vector — crystalizes innovation into system","Blueprint thinking; long-view intelligence","The signal becomes system.","Structures future knowledge; builds scalable bridges; genius embodied.","Structure-of-consciousness: W3/W6/W8.","“Quiet, clean, built to last.”"
Aquarius,3,"The Frequency Keeper","Venus","Aquarius/Libra",20,29,"Transmission vector — mind as planetary signal","Symbolic resonance; cosmic attunement","Thinking to attune — not define.","Anchors thought-field as signal; mythic cognition; collective node.","Highest air octave: W6/W8/W10/W4 — frequency holding.","“The self becomes a signal.”"
Pisces,1,"The Ocean Dream","Jupiter","Pisces/Pisces",0,9,"Dissolution vector — initiates transcendence of form","Liminal water; empathic openness","Feeling as field — return to Source.","Initiates final octave; anchors source memory via softness and surrender.","Liminal resonance: W2/W6/W7/W10 — dream logic and mystical attunement.","“Not doing — feeling the world dream through you.”"
Pisces,2,"The Mystic Vessel","Moon","Pisces/Cancer",10,19,"Sacred service vector — devotion into embodied motion","Mystical offering; devotional embodiment","The dream chooses a chalice.","Refines service as spiritual craft; offers form that heals without control.","Embodied grace: W2/W6/W7/W8.","“Hold the world lightly.”"
Pisces,3,"The Celestial Sea","Mars","Pisces/Scorpio",20,29,"Transcendence vector — dissolves form; reintegrates soul","Mystical unity; formless compassion","Completion as return — into the All.","Finalizes the spiral; opens the gate of transcendence; identity re-weaves with the field.","Omega point: W4/W9/W10 — ancestral release and spiritual return.","“Every story ends in silence that sings.”"
